Number, Time, Scramble 
1,16.59,F' R U' R L2 F2 R' F' R2 F U2 F' L2 B R2 D2 F U'
2,16.14,U' B2 F2 D R2 B2 D2 F2 D U B' L2 D F L D2 R' F' U F' L2
3,15.15,R F2 R2 B2 U2 L2 U' L2 B2 L2 F2 D B R' F' D2 B2 D' B R
4,20.36,U2 L2 F' U' R' F B R' B2 L B2 U' L2 B2 D' L2 U' D
5,15.14,B D' R F R D2 B' U' F L' U' R2 F2 D' F2 L2 B2 D2 L2 U
6,14.80,F' R U R U B D F' R' U2 B2 D R2 F2 U' L2 U' L2 U L'
7,15.58,F L2 D2 B2 R' U2 B2 R U2 L2 B2 R F' R F2 L' U' B F' R'
8,19.68,U L2 R2 D L2 B2 D R2 U B D' L2 F L D U F R2 D R'
9,13.58,F2 R B2 D2 R2 F2 R' U2 B2 R2 D' R U' B' R2 U2 L' U2 L F'
10,17.25,L2 F2 L2 R2 D L2 U F2 D' F2 U B D L2 R D2 U' B' U' B2 L2
11,16.40,F2 D2 R2 F2 D2 U2 L U2 L2 U2 F2 D' L U F' D2 U2 R F L2
12,15.16,U' F2 D' B2 F2 D B2 F2 D' F2 D2 R' F' D B R2 B' L' R2 B R'
13,15.80,B2 U' F2 R F L D B U F' R2 L2 F2 U2 F' L2 B L2 B R'
14,19.69,U B R' F' R2 U L' U F' L R2 F2 D F2 D2 L2 B2 U2 R2
15,16.62,L2 B' L2 R2 F' L2 U2 L2 R F2 D' R' D U2 B2 U' R2 B'
16,18.10,B2 R F' L2 F2 D L' B D' B2 R D2 F2 R U2 B2 R' B2 R'
17,13.71,R U2 F' L' D R U2 D2 B U' B2 U2 B2 L2 B' D2 L2 B' L2
18,15.08,D F2 U F' U D' L B' R U F2 D F2 D2 R2 F2 U2 L2 B2 U
19,14.90,R F D2 F' D2 B2 D2 R2 B' R2 D2 F D' L U' F L' F' R' U
20,18.21,B2 R B' D R' F' L' F U' F R2 F2 B D2 L2 F2 U2 D2 F U
21,20.38,L2 B2 R' D2 B2 L' D2 F2 R F2 D2 F R D F D' U' R2
22,14.60,B' L2 B2 L2 B' U2 L2 F2 R2 B' D' L F2 R' B2 D U' F' R B
23,16.54,L2 F D2 L2 B D2 B2 R2 U2 B2 L2 D L R F L' R B2 L' U' L
24,14.61,F2 D' F2 D' U' L2 D' F2 U' F U' B D2 R U2 F U
25,14.73,F2 D2 L2 U B2 F2 U2 L2 B2 F2 U' L' U2 F2 U L B' D F U B'
26,13.81,D' F' B U D' B' R U' B D2 B2 U2 B D2 L2 B' L2 F U'
27,16.59,B2 L F2 L B2 F2 R' B2 R' B2 R' F R2 F D2 U' F D L' R'
28,15.51,U L2 U2 B2 L2 U L2 R2 U L2 U2 F U' F2 U L2 U2 R U' L' F
29,17.21,B' L2 R2 D L2 U2 B2 R2 U R2 B' U' L R' D' B' D' F2 U'
30,14.11,F' U' D' B L F U' F2 B2 U' R' L' U2 F2 B2 L B2 L D2 F2 R2
31,15.40,L' F2 L2 D2 F2 L2 D2 U' B2 L2 B D L' F2 R' B2 F U2 R
32,16.41,F2 L2 D2 L2 B' D2 B' F2 D2 R2 L B' U' F' R' B D R F2 L2 R'
33,15.52,D' L F2 U2 F2 U2 B' D' U2 F R2 F2 U2 R2 B D2 F L2 U2 L'
34,16.06,B' D L' B2 D L F' B R' U2 F' R2 U2 B U2 F2 D2 L2 F' R2 U'
35,14.50,F2 U' R D2 R' F' R' D L U F2 R2 U R2 U2 L2 F2 U2 D B
36,17.48,F2 R2 D2 B2 R2 F R2 D2 F' U2 F2 L' B L2 R' U' L' B D' U
37,13.99,F R2 L' U L2 U F' L' D' L2 D2 B R2 F' R2 B U2 D2 R2 D
38,16.31,F D2 B' R2 B U2 R2 U2 F' R2 B L' D' B' D U' B2 L R U
39,14.66,U L2 U' L2 U2 B' L' F' U' L' U R2 D R2 U' R2 D2 L2 B2
40,18.21,D2 B L2 F' L2 U2 F2 U2 B D2 B L' B R B' U B' U2 R2 F
41,19.34,U2 F D2 F U2 B' R2 B' L2 F' U' L' R' D F D2 B2 U B' U
42,15.42,B' D2 L' F2 D2 R2 B L D R' U F2 D' B2 D2 F2 U' B2 D R2
43,17.80+,B L2 D R F2 L' B' D B' R2 D' L2 D2 F2 L2 B2 R2 D' B2 R2 B'
44,15.89,B' L2 D2 F D2 U2 R2 B' U2 B' D2 L' F U' F D' F' U2 B' R' F
45,17.20,R L F R2 B2 L' U R' B2 D U2 B2 R F2 U2 L' D2 R2 D2 F2
46,18.49,D' F' U2 B' U2 F' D2 L2 B2 L2 F' D2 U F' D R2 F' R D L D
47,14.07,R' U' F B2 U' L B' U B' D2 B L2 U2 B' R2 B D2 B2 D
48,18.31,R2 D2 R2 D2 B F2 U2 B L2 F2 U2 L' R B D2 U L B F2 L2 R
49,16.39,R2 D' R2 U2 R2 B2 D U' F2 L' D' R' F' L' D2 R2 B2 U'
50,16.94,B2 D2 F' L2 F2 R2 U2 B' R2 F' U2 R' U2 F2 U2 F' U' B D U R'
51,14.64,R U2 F L2 B U2 F D2 R2 B2 F' L D F U B U2 L B U
52,15.67,B2 F2 R' F2 D2 F2 R2 F2 R' D2 U2 F R2 U' R2 F R' F' L2 R F2
53,14.49,F2 L2 F2 R2 D2 F U2 L2 F R' D R2 F2 U2 B' D2 R' U' F
54,18.24,F2 D B2 D' F2 U2 R2 D R2 D R' U' L R2 B R' F2 U R2 F
55,16.49,L B2 U2 D' B' U' R D2 F' U L2 U2 B' D2 B R2 B2 U2 B' L2
56,15.75,L U R2 D L2 B2 U' R2 U R2 U L' B' D' B F' U R F2 U2
57,14.76,B' D' R' U R2 U F D2 B R' L2 D2 F R2 D2 F L2 F' L2
58,15.73,U2 R' B2 L2 R U2 B2 L' D2 B U' L F' D' L2 D' U2 F' D'
59,18.42,U L2 U D B L2 B' U B' L2 D2 F2 L2 D2 R' F2 R' F2 R
60,17.00,R' D2 R' U' B' R B' D L' B U2 D2 B2 R2 B' R2 U2 D2 R2 U
61,14.97,R' F' D2 F L2 D2 B D2 B R2 B2 D U' L' B F D' L F2
62,18.87,U2 R2 B' L2 F U2 B' F2 D2 F R' D' B2 R' B' R B L' F D
63,15.90,D R2 B2 L2 D2 B2 D L2 D B2 U' B F D' B2 L D' B2 F D' R'
64,16.49,R2 D2 B U2 R2 F L2 F R2 U2 B' D R2 B U2 F2 L' F R D' B
65,13.36,D2 L2 D2 F U2 B2 L2 B U2 L2 B' D' U' B' D L' R B' U' L U'
66,17.08,D2 F' U' L F2 D F' B R L' B2 L2 F' L2 U2 F' U2 L2 B' L2
67,16.52,D L2 U L F' D2 F' U L B2 U' R2 F2 U2 B2 D2 F2 U B2 F
68,15.94,R U' L B2 D R B U F' U' B2 D' R2 U F2 L2 U2 B2 R'
69,13.56,L' D2 F' L2 D2 F' L2 B2 F' L2 U2 R' B D L' U' L U2 F'
70,14.80,F2 D' L2 R2 B2 D' R2 B2 L2 F2 R2 F U F' U B' U L D2 B' D
71,16.51,R' B' U' R' L2 D2 B' R' F' R U2 R U2 L U2 R' U2 B2 L
72,17.48,F2 U B2 D F2 U2 F2 U R2 B' F' D' F' L F' U' R B F2
73,16.04,U' L2 B D2 B D2 F D2 F' U2 L' B L B2 D' L F L' U
74,15.85,D' R' U2 L' B D F2 U' R' U D R2 F2 U2 D B2 D L2
75,14.93,L' F2 R2 U F2 L2 R2 U' L2 U2 L R' B' D2 F R U' R2 B
76,14.97,L2 F2 B' D' F' R L' D' B F2 L' D2 L U2 F2 R' U2 L2 F'
77,17.19,F2 L' U2 F2 D L' U' B L' U2 F L2 B' R2 L2 B R2 F D2 L2
78,14.40,F' U B' L' B2 U2 D L' U' L U2 F2 R2 B2 D L2 B2 U D
79,12.12,F2 D B2 R2 U2 B2 U R2 B D2 R' D2 F2 D2 U2 F' L
80,15.21,L B2 R2 F2 L2 R' U2 R' U2 F' L2 B' L2 D R' D B' L' D
81,16.88,R' D F2 U F2 R2 D' L2 D R U R F2 D2 L' D' R B'
